Outcome,Dismissal,Innings,HostCountry,InnBalls,BatTeam,TeamWkts,TeamScore,TeamLead,Batter,BatScore,BatBalls,BatAvg,BatSR,BatArm,BowlTeam,Bowler,BowlBalls,BowlRuns,BowlWkts,BowlAvg,BowlSR,BowlType,SpellBalls,SpellRuns,SpellWkts,TossWin,TossElect,BatTeamTotalRuns,BatTeamTotalWkts,BowlTeamTotalRuns,BowlTeamTotalWkts,Commentary,InnsBalls
0,no,1,BAN,0,BAN,0,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Khan to Tamim Iqbal, no run, nice start, Tamim was in a spot of bother there, landed short of a good length on leg stump and moved away, squared him up and he got a thick outside edge towards gully",0
0,no,1,BAN,1,BAN,0,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Khan to Tamim Iqbal, no run, short of a length outside off and moving away, withdraws his bat at the right time and lets it through",1
0,no,1,BAN,2,BAN,0,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Khan to Tamim Iqbal, no run, pushed it fuller at 127 kmph on middle and off, steps forward and presents the full face while playing it back to the bowler",2
0,no,1,BAN,3,BAN,0,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Khan to Tamim Iqbal, no run, appeal for caught-behind, landed it on a length outside off and got it to move away, beautifully bowled, drew him into the shot, there was a slight deviation and a sound once they played the replay but the umpire didn't hear it and nor was the appeal very convincing from behind the stumps, hard to tell",3
0,no,1,BAN,4,BAN,0,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Khan to Tamim Iqbal, no run, beaten again, much closer to the off stump and some late movement had Tamim in trouble as he went for the drive as it just escaped the outside edge",4
0,no,1,BAN,5,BAN,0,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Khan to Tamim Iqbal, no run, ",5
W,out,1,BAN,6,BAN,0,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Sharma to Imrul Kayes, OUT, caught down the leg side, Ishant strikes with his first delivery, short outside leg and he tries to clip it fine, gets a feather  to Dhoni who goes up immediately, Bowden has no problem with it, India hit early.",6
0,no,1,BAN,7,BAN,1,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Sharma to Junaid Siddique, no run, pushed wide of mid-off where Zaheer does well moving to his right",7
0,no,1,BAN,8,BAN,1,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Sharma to Junaid Siddique, no run, short of a good length on the off and darting away,",8
0,no,1,BAN,9,BAN,1,0,0,,,,,,,IND,,,,,,,,,,,BAN,bat,545,20,546,8,"Sharma to Junaid Siddique, no run, ",9
