Outcome,Dismissal,Innings,HostCountry,InnBalls,BatTeam,TeamWkts,TeamScore,TeamLead,Batter,BatScore,BatBalls,BatAvg,BatSR,BatArm,BowlTeam,Bowler,BowlBalls,BowlRuns,BowlWkts,BowlAvg,BowlSR,BowlType,SpellBalls,SpellRuns,SpellWkts,TossWin,TossElect,BatTeamTotalRuns,BatTeamTotalWkts,BowlTeamTotalRuns,BowlTeamTotalWkts,Commentary,InnsBalls
3,no,1,AUS,0,SRL,0,0,0,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Starc to Karunaratne, 3 runs, fuller on off, no swing, he clips this neatly wide of mid on, he places this and times it nicely to get off the mark and they run well",0
0,no,1,AUS,1,SRL,0,3,3,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Starc to Thirimanne, no run, nasty short ball, he fends it at, it comes off the upper arm and falls safely behind him. Brutal one first up",1
2,no,1,AUS,2,SRL,0,3,3,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Starc to Thirimanne, 2 runs, good length outside off, he pushes at a drive and it runs off a thick edge behind point for a couple",2
0,no,1,AUS,3,SRL,0,5,5,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Starc to Thirimanne, no run, fuller and wide of off, a hint of shape away, he's happy to leave",3
0,no,1,AUS,4,SRL,0,5,5,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Starc to Thirimanne, no run, back of a length on middle, he's back and across and defending into the on side",4
1,no,1,AUS,5,SRL,0,5,5,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Starc to Thirimanne, 1 run, very full speared into leg stump, he digs this out past short leg for a single",5
1,no,1,AUS,6,SRL,0,6,6,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Richardson to Thirimanne, 1 run, pops up a length ball just wide of short leg! It was a good length, climbing and hitting the sticker of the bat, it just ballooned wide of Harris and away for one",6
0,no,1,AUS,7,SRL,0,7,7,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Richardson to Karunaratne, no run, good length, angled across the left-hander, 135kph, he leaves",7
1,no,1,AUS,8,SRL,0,7,7,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Richardson to Karunaratne, 1 run, back of a length into leg stump, he defends with soft hands past short leg and they take a sharp one",8
0,no,1,AUS,9,SRL,0,8,8,,,,,,,AUS,,,,,,,,,,,SRL,bat,283,20,323,10,"Richardson to Thirimanne, no run, 135kph, good length inswinger, he shoulders arm, it strikes the pad, a big appeal for LBW, but it's given not out. Too high and no review from Australia",9
